mode,family,method,model,lab,total,ta_acc,strict_ta_acc,l1,l2,l3,l4,l5,ok_acc,strict_nc,semantic_nc,compliance,raw_path
relaxed,cfg_only,singleLLM_cfg,Llama-3.1-8B,LabD,3370,19.18,14.97,44.76,52.69,7.75,1.99,6.32,17.71,1.08,26.62,4.05,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Llama-3.1-8B/LabD/results_raw_vllm_en_20260325_194817.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabA,1272,56.59,35.68,79.44,77.86,26.59,21.57,13.59,42.23,20.00,90.93,21.99,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabA/results_raw_vllm_en_20260325_202043.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabB,2157,55.25,36.80,74.17,89.10,51.37,9.26,18.87,44.69,14.89,84.59,17.60,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabB/results_raw_vllm_en_20260325_202142.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabC,2674,39.95,27.50,67.82,69.78,20.00,5.77,47.10,32.01,10.14,70.47,14.40,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabC/results_raw_vllm_en_20260325_202327.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabD,3370,31.06,21.48,67.23,55.78,21.98,5.49,18.63,23.87,9.35,67.45,13.87,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabD/results_raw_vllm_en_20260325_202624.json
relaxed,cfg_only,singleLLM_cfg,Qwen3-8B,LabA,1272,56.24,36.35,73.47,72.14,36.90,24.84,23.30,51.33,0.53,68.00,0.78,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Qwen3-8B/LabA/results_raw_vllm_en_20260326_102234.json
relaxed,cfg_only,singleLLM_cfg,Qwen3-8B,LabB,2157,13.03,11.64,15.76,51.32,19.61,0.23,0.00,15.83,0.00,5.25,0.00,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Qwen3-8B/LabB/results_raw_vllm_en_20260325_203512.json
relaxed,cfg_only,singleLLM_cfg,Qwen3-8B,LabC,2674,8.33,8.22,13.96,48.51,8.00,0.63,0.00,10.36,0.00,0.54,0.00,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Qwen3-8B/LabC/results_raw_vllm_en_20260325_203623.json
relaxed,cfg_only,singleLLM_cfg,Qwen3-8B,LabD,3370,5.68,5.68,12.91,45.07,5.83,0.00,0.00,6.81,0.00,0.00,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Qwen3-8B/LabD/results_raw_vllm_en_20260325_203911.json
relaxed,tool_augmented,singleLLM_mcp,Mistral3-8B,LabA,1272,69.04,49.07,68.19,43.67,80.29,67.32,66.99,63.00,15.73,83.47,18.85,/home/sdlab08/projects/GIA/NetAlly/result2/singleLLM_mcp/mistral3-8b/LabA/netally_eval_direct_singleLLM_mcp_LabA_20260428_174505.json
relaxed,tool_augmented,singleLLM_mcp,Mistral3-8B,LabB,2157,76.68,56.93,79.68,93.57,76.73,70.88,59.38,72.20,14.54,89.14,16.31,/home/sdlab08/projects/GIA/NetAlly/result2/singleLLM_mcp/mistral3-8b/LabB/current/netally_eval_direct_singleLLM_mcp_LabB_20260428_194024.json
relaxed,tool_augmented,singleLLM_mcp,Mistral3-8B,LabC,2674,70.17,54.80,79.23,82.73,72.93,63.52,29.03,65.37,14.13,88.59,15.95,/home/sdlab08/projects/GIA/NetAlly/result2/singleLLM_mcp/mistral3-8b/LabC/netally_eval_direct_singleLLM_mcp_LabC_20260424_182525.json
relaxed,tool_augmented,singleLLM_mcp,Mistral3-8B,LabD,3370,68.80,56.37,80.23,84.29,64.58,64.39,27.95,64.49,15.29,90.65,16.87,/home/sdlab08/projects/GIA/NetAlly/result2/singleLLM_mcp/mistral3-8b/LabD/netally_eval_direct_singleLLM_mcp_LabD_20260428_142414.json
