Timestamp,NetConfig_BERT,NetConfig_Inc%,NetConfig_Len,NetBench_BERT,NetBench_Inc%,NetBench_Len,TeleQuAD_BERT,TeleQuAD_Inc%,TeleQuAD_Len,TeleQnA_BERT,TeleQnA_Inc%,TeleQnA_Len,Overall_Avg_BERT
2026-01-06 15:12,0.5726,0.0,17.5,0.816,0.0,1339.1,0.6686,0.0,1543.0,0.6789,0.0,1137.2,0.684
2026-01-06 16:00,0.0
2026-01-06 16:00,0.685,0.0,613.1,0.6887,0.0,767.4,0.8427,0.0,699.2,0.7274,10.0,5.4,0.736
2026-01-06 16:08,0.6887,0.0,767.4,0.8427,0.0,699.2,0.7274,10.0,5.4,0.7529
2026-01-06 16:09,0.6861,0.0,705.9,0.6887,0.0,767.4,0.8427,0.0,699.2,0.7274,10.0,5.4,0.7362
2026-01-06 16:18,0.6894,0.0,543.0,0.6886,0.0,710.1,0.8454,0.0,692.4,0.7274,10.0,5.4,0.7377
2026-01-08 11:04,0.6894,0.0,543.0,0.6886,0.0,710.1,0.8454,0.0,692.4,0.7274,10.0,5.4,0.7377
2026-01-08 11:07,0.6879,5.16,641.6,0.7047,0.0,743.2,0.7944,0.46,877.0,0.7719,30.52,23.3,0.7397
