model,lab,lab_label,samples,type_aware_accuracy,exact_match,token_f1,bleu,bertscore_f1,rouge1,rouge2,rougeL,L1,L2,L3,L4,L5,map,numeric,number,set,text,duration_sec,throughput,source_path,analyzed_path
Qwen3-Coder,LabB,Lab-B,2157,0.29925087018271995,0.26008344923504867,0.35045752531363356,0.09491071936154384,0.9221073134552289,0.3929461733430201,0.18036926394434555,0.3830267344308927,0.35437442376217887,0.5089668615984405,0.4823529411764706,0.06320541760722348,0.109375,0.4121541950113379,,0.2235294117647059,0.39130422325368175,0.27419354838709675,206.23,10.46,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabB/results_raw_vllm_20260322_184246.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabB/results_analyzed_vllm_20260322_184246.json
Qwen3-Coder,LabC,Lab-C,2674,0.21082953249823302,0.17614061331338818,0.2772931500624729,0.06142459554295839,0.9186032325720377,0.31812509170771164,0.13076841702915057,0.30626406665570316,0.3573827562419223,0.46473555684082,0.17411764705882352,0.03878406708595388,0.06451612903225806,0.37404868940583225,,0.11137440758293839,0.34229858327032,0.20378331900257954,532.83,5.02,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabC/results_raw_vllm_20260322_184613.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabC/results_analyzed_vllm_20260322_184613.json
Qwen3-Coder,LabD,Lab-D,3370,0.1703108435173368,0.14955489614243322,0.23858368508621552,0.04956452716910684,0.918378106334443,0.2886206815429303,0.10509503925989908,0.2781225314959474,0.36735660527950065,0.47672887336752884,0.12129995608256479,0.03379601689800845,0.043478260869565216,0.35793032364460936,,0.09425878320479864,0.3101065006378805,0.1619672131147541,1211.5,2.78,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabD/results_raw_vllm_20260322_185506.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabD/results_analyzed_vllm_20260322_185506.json
Qwen3.5-4B,LabA,Lab-A,1251,0.32919695989240355,0.2509992006394884,0.2752185493431197,0.066316659670906,0.8625404851423274,0.26922514792350194,0.13539052910676921,0.26016739752282586,0.3662229541192077,0.5571428571428572,0.4312169312169312,0.06060606060606061,0.019417475728155338,0.4002373535083815,,0.28289473684210525,0.37597911227154046,0.3041575492341357,3059.19,0.41,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabA/results_raw_vllm_20260320_133354.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabA/results_analyzed_vllm_20260320_133354.json
Qwen3.5-4B,LabB,Lab-B,2157,0.27429169501492173,0.24200278164116829,0.26511703929529773,0.06373693120896623,0.8601774282349333,0.2668977912109781,0.10619250958091846,0.26212253015616216,0.3689015066566087,0.43859649122807015,0.3281045751633987,0.02708803611738149,0.0078125,0.28319418676561536,,0.26218487394957984,0.34296028880866425,0.23732718894009217,7907.72,0.27,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabB/results_raw_vllm_20260320_142512.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabB/results_analyzed_vllm_20260320_142512.json
Qwen3.5-4B,LabC,Lab-C,2674,0.2242250477852572,0.19483919222139118,0.21212766102440583,0.045481907312262565,0.8493153422335323,0.2131823017971703,0.08142191773701025,0.20899855334601247,0.3833551883905936,0.41025641025641024,0.31895424836601305,0.013626834381551363,0.012903225806451613,0.24936507936507937,,0.17061611374407584,0.4035420619860847,0.17884780739466896,15011.57,0.18,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabC/results_raw_vllm_20260320_163700.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabC/results_analyzed_vllm_20260320_163700.json
Qwen3.5-9B,LabA,Lab-A,1251,0.5149658051336709,0.4292565947242206,0.49312072727928274,0.11780425546422939,0.922157451022062,0.4879840275543533,0.21767626473546983,0.4722009519391433,0.5342619276336855,0.8634920634920634,0.6547619047619048,0.23484848484848486,0.1650485436893204,0.6628096721554666,,0.6743421052631579,0.41854200339840025,0.4551422319474836,2303.24,0.54,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabA/results_raw_vllm_20260320_213216.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabA/results_analyzed_vllm_20260320_213216.json
Qwen3.5-9B,LabB,Lab-B,2157,0.48304670655157445,0.4191006026889198,0.5001712047226988,0.12766500682499504,0.9333971231747513,0.5265114013055275,0.2360739552304874,0.5149856428927098,0.5503912187585657,0.8011695906432749,0.7045751633986927,0.18284424379232506,0.26875,0.4954648526077098,,0.4991596638655462,0.4919975932611312,0.4642857142857143,5433.22,0.4,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabB/results_raw_vllm_20260320_221132.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabB/results_analyzed_vllm_20260320_221132.json
Qwen3.5-9B,LabC,Lab-C,2674,0.3551564781931274,0.3100224382946896,0.40295993539053804,0.10184773403785859,0.9272299214762899,0.41943991441217227,0.18443945821599966,0.40915611467958696,0.5423984442867212,0.6666666666666666,0.4129411764705882,0.11844863731656184,0.1032258064516129,0.4272982572982573,,0.2985781990521327,0.4608475648323846,0.33963886500429924,10365.7,0.26,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabC/results_raw_vllm_20260320_234205.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabC/results_analyzed_vllm_20260320_234205.json
Qwen3.5-9B,LabD,Lab-D,3370,0.2896270525749703,0.2602373887240356,0.3497374315216362,0.08535287206315857,0.9188781027447223,0.3592179364645259,0.14907308615218412,0.35246035389241936,0.5508400594946622,0.4864532019704434,0.4201769245247506,0.08328304164152082,0.11180124223602485,0.41036463536463536,,0.2579263067694944,0.4137399967037193,0.25901639344262295,19018.36,0.18,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabD/results_raw_vllm_20260322_082811.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabD/results_analyzed_vllm_20260322_082811.json
