model,labs_covered,avg_type_aware_accuracy,avg_rank,avg_exact_match,avg_token_f1,avg_rougeL,avg_bleu,avg_bertscore_f1,avg_L4,avg_L5,avg_ok_accuracy,avg_strict_negative_accuracy,avg_semantic_negative_accuracy,avg_contract_compliance,avg_negative_gap,LabA_ta,LabB_ta,LabC_ta,LabD_ta,LabA_strict_nc,LabB_strict_nc,LabC_strict_nc,LabD_strict_nc,LabA_semantic_nc,LabB_semantic_nc,LabC_semantic_nc,LabD_semantic_nc,LabA_compliance,LabB_compliance,LabC_compliance,LabD_compliance,LabA_rank,LabB_rank,LabC_rank,LabD_rank
Mistral3-8B,4,0.36422137783456887,1.25,0.33545713174686387,0.40354304383633777,0.4018751231587837,0.08868570779069807,0.9231048786631829,0.15848691857979294,0.12125022780689707,0.41657328056603643,0.2067825111874256,0.919072005488581,0.22425921875402777,0.7122894943011555,0.433785065388839,0.422788083497402,0.33329556783880065,0.2670167946132338,0.24533333333333332,0.21541155866900175,0.17753623188405798,0.18884892086330934,0.9653333333333334,0.9492119089316988,0.8822463768115942,0.8794964028776978,0.2541436464088398,0.22693726937269373,0.20123203285420946,0.2147239263803681,2,1,1,1
GPT-OSS-20B,4,0.36055353577263816,1.75,0.3357436636992145,0.37927383513686347,0.3699311841258292,0.08679884708815479,0.9196179760742904,0.12618738017875664,0.13202342156499547,0.4307490532595986,0.1438966628265955,0.8354094229832003,0.1679901336347361,0.6915127601566048,0.46988868922831184,0.41539505927544873,0.3150722835776353,0.24185811100915683,0.23466666666666666,0.13134851138353765,0.13043478260869565,0.07913669064748201,0.936,0.8493870402802102,0.8188405797101449,0.737410071942446,0.25071225071225073,0.15463917525773196,0.1592920353982301,0.1073170731707317,1,2,2,2
Qwen3-8B,4,0.32592079843592553,3.5,0.29416558122722897,0.34355575501895164,0.36975581086705545,0.07561200452070613,0.9126258291745296,0.11187393380951022,0.11524566417681367,0.3949352169910797,0.11702512799780734,0.7597381296972625,0.1527906984837678,0.6427130016994552,0.4110761705101328,0.38418927695700994,0.2892080247968082,0.21920972147975115,0.168,0.10332749562171628,0.10144927536231885,0.09532374100719425,0.8666666666666667,0.809106830122592,0.7318840579710145,0.6312949640287769,0.19384615384615383,0.1277056277056277,0.13861386138613863,0.150997150997151,3,4,3,4
GPT-4o-mini,4,0.3233017898458658,3.5,0.2926029548236314,0.35911788590076044,0.35891423317327786,0.07840401127012561,0.9223607146264889,0.15622296881257192,0.058676670107915344,0.3687262298939087,0.19048358807814025,0.8189387734158976,0.23216516000612866,0.6284551853377573,0.39427142974590257,0.39016213529426325,0.2855990046267999,0.2231745897164974,0.24,0.1681260945709282,0.1793478260869565,0.17446043165467626,0.9226666666666666,0.8493870402802102,0.7644927536231884,0.7392086330935251,0.26011560693641617,0.1979381443298969,0.23459715639810427,0.2360097323600973,4,3,4,3
Llama-3.1-8B,4,0.20194729853901539,5.0,0.1756309406637834,0.22925793811160836,0.247811544477273,0.04858717231141872,0.9013362169610227,0.059287071375272324,0.06004982360238721,0.2638988011533025,0.009313485113835377,0.17734336065754874,0.04104653909756674,0.16802987554371335,0.23300888489567734,0.2522665224334209,0.17775071634238337,0.14476307048457987,0.032,0.005253940455341506,0.0,0.0,0.22133333333333333,0.2679509632224168,0.09239130434782608,0.12769784172661872,0.14457831325301204,0.0196078431372549,0.0,0.0,5,5,5,5
