model,lab,lab_label,samples,type_aware_accuracy,exact_match,token_f1,bleu,bertscore_f1,rouge1,rouge2,rougeL,L1,L2,L3,L4,L5,map,numeric,number,set,text,ok_accuracy,strict_negative_accuracy,semantic_negative_accuracy,contract_compliance,negative_gap,duration_sec,throughput,language,decoding_mode,source_path,analyzed_path
Llama-3.1-8B,LabC,Lab-C,2674,0.17775071634238337,0.15220643231114436,0.20493412847844703,0.03829764488843181,0.9030892639661245,0.23644178435281565,0.06677006704023708,0.2346551478992218,0.274473293120028,0.5499964088199382,0.10588235294117647,0.07337526205450734,0.05161290322580645,0.14696145124716553,,0.15639810426540285,0.3125821865748197,0.1358555460017197,0.22398935697433228,0.0,0.09239130434782608,0.0,0.09239130434782608,7122.81,0.38,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabC/results_analyzed_vllm_en_20260327_XXXXXX.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabC/results_analyzed_vllm_en_20260327_XXXXXX.json
Llama-3.1-8B,LabD,Lab-D,3370,0.14476307048457987,0.12759643916913946,0.17253815189874927,0.03033835168465026,0.9007003327151788,0.19578838652230088,0.05242154114559481,0.19414068010803795,0.277673724998666,0.5331515378474906,0.09881422924901186,0.04828002414001207,0.09316770186335403,0.1851324469181612,,0.11825192802056556,0.293555771309464,0.10885245901639344,0.17336586621643005,0.0,0.12769784172661872,0.0,0.12769784172661872,41593.49,0.08,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabD/results_analyzed_vllm_en_20260327_XXXXXX.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabD/results_analyzed_vllm_en_20260327_XXXXXX.json
Mistral3-8B,LabA,Lab-A,1272,0.433785065388839,0.3946540880503145,0.4474576284128171,0.10366358872034143,0.9143538658255301,0.42282329703435745,0.1624523015491962,0.420229364452753,0.5097616760440967,0.6428571428571429,0.43253968253968256,0.23529411764705882,0.07766990291262135,0.21596202343865895,,0.569078947368421,0.4377719756309834,0.39330543933054396,0.5125692343083648,0.24533333333333332,0.9653333333333334,0.2541436464088398,0.7200000000000001,2041.97,0.62,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabA/results_analyzed_vllm_en_20260328_153543.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabA/results_analyzed_vllm_en_20260328_153543.json
Mistral3-8B,LabB,Lab-B,2157,0.422788083497402,0.3908205841446453,0.4561914209733894,0.11008642144333451,0.9277740471552078,0.4648955339551233,0.18410726869810665,0.45945571298741333,0.505458317193011,0.8245614035087719,0.5490196078431373,0.12189616252821671,0.2109375,0.27211966604823745,,0.4470588235294118,0.47627643115007734,0.39631336405529954,0.497448862612797,0.21541155866900175,0.9492119089316988,0.22693726937269373,0.7338003502626971,3586.36,0.6,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabB/results_analyzed_vllm_en_20260328_161032.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabB/results_analyzed_vllm_en_20260328_161032.json
Mistral3-8B,LabC,Lab-C,2674,0.33329556783880065,0.3059087509349289,0.3796889877039446,0.07854872694669339,0.9258638007612306,0.38959383805094644,0.13024973399799852,0.3834896693735866,0.49479060584489376,0.7936791890280263,0.27215686274509804,0.1530398322851153,0.1032258064516129,0.2777061430632859,,0.2677725118483412,0.44469352632275716,0.33705932932072225,0.3738135477855575,0.17753623188405798,0.8822463768115942,0.20123203285420946,0.7047101449275363,6407.46,0.42,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabC/results_analyzed_vllm_en_20260328_171019.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabC/results_analyzed_vllm_en_20260328_171019.json
Mistral3-8B,LabD,Lab-D,3370,0.2670167946132338,0.25044510385756674,0.3308341382552001,0.062444094052422926,0.9244278009107629,0.346998662613462,0.10042603668481176,0.34432574582138187,0.47764709283198664,0.673469387755102,0.21304347826086956,0.12371756185878093,0.09316770186335403,0.27274780774780777,,0.20394173093401885,0.35996636572844753,0.2819672131147541,0.2824614775574264,0.18884892086330934,0.8794964028776978,0.2147239263803681,0.6906474820143884,12458.4,0.27,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabD/results_analyzed_vllm_en_20260328_185707.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Mistral3-8B/LabD/results_analyzed_vllm_en_20260328_185707.json
Qwen3-8B,LabA,Lab-A,1272,0.4110761705101328,0.3860062893081761,0.4358788617043334,0.09664616192899089,0.9155694343290239,0.396505656451187,0.13751240519799135,0.39379488015550507,0.4566122318283702,0.6428571428571429,0.43253968253968256,0.21568627450980393,0.18446601941747573,0.23394155169856104,,0.5361842105263158,0.4408802685565088,0.3472803347280335,0.5126966431314258,0.168,0.8666666666666667,0.19384615384615383,0.6986666666666667,3077.44,0.41,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabA/results_analyzed_vllm_en_20260326_150407.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabA/results_analyzed_vllm_en_20260326_150407.json
Qwen3-8B,LabB,Lab-B,2157,0.38418927695700994,0.3463143254520167,0.4006482969671222,0.09707698328048403,0.9194497143056142,0.4384731744017128,0.15752024014039356,0.43330766047402913,0.47570048998620423,0.7807017543859649,0.4549019607843137,0.09932279909706546,0.14182692307692307,0.2907792207792208,,0.4436974789915966,0.4638757752476164,0.3076036866359447,0.4853066017630961,0.10332749562171628,0.809106830122592,0.1277056277056277,0.7057793345008757,7655.2,0.28,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabB/results_analyzed_vllm_en_20260329_090905.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabB/results_analyzed_vllm_en_20260329_090905.json
Qwen3-8B,LabC,Lab-C,2674,0.2892080247968082,0.25205684367988035,0.29505797653747223,0.061130657900571005,0.9145478583487808,0.3638117910040853,0.12487954489497527,0.3577617944664719,0.4739294537091547,0.7532800677520365,0.21411764705882352,0.07756813417190776,0.08387096774193549,0.26212620712620716,,0.2938388625592417,0.43386070077608363,0.2235597592433362,0.3380500746025754,0.10144927536231885,0.7318840579710145,0.13861386138613863,0.6304347826086957,23306.41,0.11,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabC/results_analyzed_vllm_en_20260329_111710.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabC/results_analyzed_vllm_en_20260329_111710.json
Qwen3-8B,LabD,Lab-D,3370,0.21920972147975115,0.19228486646884274,0.24263788486687876,0.04759421497277859,0.9009363097146994,0.29827027782525634,0.09297084230062752,0.2941589083722157,0.44458737346227517,0.6632180650037792,0.22100508187464707,0.05491852745926373,0.050818746470920384,0.29002775002775005,,0.20051413881748073,0.37942913825813457,0.17049180327868851,0.24368754846722152,0.09532374100719425,0.6312949640287769,0.150997150997151,0.5359712230215827,43819.83,0.08,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabD/results_analyzed_vllm_en_20260330_164434.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Qwen3-8B/LabD/results_analyzed_vllm_en_20260330_164434.json
