model,display_model,lab,samples,ta_acc,l5_acc,truncated_count,truncated_rate,length_finish_count,length_finish_rate,format_parse_rate,avg_output_tokens,avg_request_max_tokens,exact_match,token_f1,raw_file,analyzed_file
Qwen3.5-4B,Qwen3.5-4B,Lab-D,10,0.0,0.0,3,30.0,3,30.0,30.0,5303.6,8192,0.0,0.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabD/results_raw_vllm_20260324_135541.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-4B/LabD/results_analyzed_vllm_20260324_135541.json
Qwen3.5-9B,Qwen3.5-9B,Lab-D,10,10.0,10.0,0,0.0,0,0.0,100.0,885.7,8192,10.0,10.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabD/results_raw_vllm_20260324_140029.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3.5-9B/LabD/results_analyzed_vllm_20260324_140029.json
gpt-oss:20b,GPT-OSS-20B,Lab-D,10,10.0,10.0,0,0.0,0,0.0,100.0,1722.2,8192,10.0,10.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabD/results_raw_vllm_20260324_140211.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabD/results_analyzed_vllm_20260324_140211.json
qwen3-coder:30b-a3b-AWQ,Qwen3-Coder,Lab-D,10,10.0,10.0,0,0.0,0,0.0,100.0,5,8192,10.0,10.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabD/results_raw_vllm_20260324_140416.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Qwen3-Coder/LabD/results_analyzed_vllm_20260324_140416.json
Nemotron-Cascade-2-30B-A3B-AWQ,Nemotron-Cascade-2-30B-A3B,Lab-D,10,10.0,10.0,7,70.0,7,70.0,30.0,7564,8192,10.0,10.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Nemotron-Cascade-2-30B-A3B/LabD/results_raw_vllm_20260324_140535.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Nemotron-Cascade-2-30B-A3B/LabD/results_analyzed_vllm_20260324_140535.json
Foundation-Sec-8B,Foundation-Sec-8B,Lab-D,10,10.0,10.0,0,0.0,0,0.0,100.0,5,8192,10.0,10.0,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabD/results_raw_vllm_20260324_140926.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabD/results_analyzed_vllm_20260324_140926.json
